gene	SJMMBT044903_D1	SJMMBT044904_D1	SJMMBT047584_D1	SJMMBT047585_D1	SJMMBT047586_D1	SJMMBT047587_D1	SJMMBT044907_D1	SJMMBT044908_D1	SJMMBT044909_D1	SJMMBT044910_D1	SJMMBT044911_D1	SJMMBT045512_D1	SJMMBT044913_D1	SJMMBT044914_D1	SJMMBT044915_D1	SJMMBT044916_D1	SJMMBT045379_D1	SJMMBT047605_D1
Gm14295	772	134	21	77	54	43	760	574	74	64	136	462	100	806	73	90	423	50
Gm14296	702	19	5	9	18	17	788	596	8	15	13	469	9	659	17	7	498	4
Gm14297	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
Gm14298	5	2	0	0	0	0	5	7	2	2	2	8	2	4	0	4	8	2
Gm14299	0	1	0	0	1	0	1	2	0	0	0	1	2	1	2	3	0	1
Gm14300	0	0	0	0	4	5	0	0	0	0	0	1	1	1	0	2	2	1
Gm14301	2	2	0	0	1	1	3	0	2	0	0	1	1	2	0	0	2	0
Gm14302	5	6	1	2	0	0	1	3	1	1	5	3	2	7	1	7	2	3
Gm14303	6538	6568	1986	5462	3472	2655	8087	5339	3357	2869	7746	3623	4818	8053	10616	4978	4826	2665
Gm14304	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0
Gm14305	377	66	44	75	55	65	263	299	56	53	101	214	73	376	85	85	331	51
Gm14306	180	27	2	19	10	18	143	111	13	10	17	112	15	184	28	16	105	19
Gm14307	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm14308	339	87	39	82	75	57	294	257	49	55	100	158	81	297	71	96	243	64
Gm14310	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm14311	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14312	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14313	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14314	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Gm14317	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
Gm14318	0	0	0	1	0	1	0	2	0	0	0	0	0	0	2	0	1	0
Gm14319	0	0	0	0	0	0	0	1	0	0	5	0	0	0	1	0	4	0
Gm14320	10	6	5	8	2	1	12	2	4	5	23	3	6	17	12	3	5	13
Gm14321	38	23	11	19	33	21	33	19	22	18	29	24	21	43	43	25	27	10
Gm14322	539	841	234	425	823	677	633	346	179	438	569	300	511	688	960	276	320	230
Gm14323	22	31	28	16	37	89	38	25	27	17	47	20	29	49	53	25	53	14
Gm14324	4	0	0	0	6	2	3	4	1	2	3	2	1	4	1	1	0	1
Gm14325	1358	1260	536	1471	1011	725	1057	1039	597	781	1322	805	1191	1835	1209	1212	1147	979
Gm14326	909	900	393	849	667	515	727	810	534	592	885	631	875	1364	811	741	823	479
Gm14327	350	278	76	227	177	180	330	232	153	155	232	206	201	362	233	213	227	124
Gm14328	40	60	4	8	7	9	41	9	21	21	19	22	33	33	16	9	12	2
Gm14329	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14330	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gm14335	107	77	38	61	51	30	89	80	77	69	67	81	77	110	124	84	71	42
Gm14336	5	2	1	1	1	1	4	1	0	6	5	3	3	4	1	1	3	1
Gm14337	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14339	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
Gm14340	0	5	0	2	0	0	0	0	0	3	2	0	3	0	2	1	0	0
Gm14341	1	4	1	2	2	0	5	3	0	2	8	1	2	1	1	0	6	0
Gm14342	4	2	2	4	1	3	6	31	3	3	7	4	2	3	1	8	16	14
Gm14343	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Gm14344	0	0	0	0	0	1	0	3	0	0	2	4	1	0	0	0	3	0
Gm14346	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm14347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm14350	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
