gene	SJMMBT044903_D1	SJMMBT044904_D1	SJMMBT047584_D1	SJMMBT047585_D1	SJMMBT047586_D1	SJMMBT047587_D1	SJMMBT044907_D1	SJMMBT044908_D1	SJMMBT044909_D1	SJMMBT044910_D1	SJMMBT044911_D1	SJMMBT045512_D1	SJMMBT044913_D1	SJMMBT044914_D1	SJMMBT044915_D1	SJMMBT044916_D1	SJMMBT045379_D1	SJMMBT047605_D1
0610005C13Rik	12	14	8	13	1	7	9	8	5	6	25	4	12	5	7	7	7	11
0610007C21Rik	4215	3426	1035	2510	1767	1097	2544	2027	1177	1468	3250	1890	2273	6153	2826	2016	2836	1896
0610007L01Rik	2506	2707	1384	1697	2044	1369	2810	2964	1091	1186	3133	1812	2147	4971	2997	1730	4740	1682
0610007N19Rik	154	249	105	124	155	92	143	72	60	65	337	57	79	97	414	73	111	52
0610007P08Rik	3122	4837	1297	2318	2032	1258	5028	2332	1955	1868	2496	1904	2896	5227	3675	1974	4255	1252
0610007P14Rik	1201	1207	325	1235	526	460	1107	918	866	694	1227	707	753	1762	1643	976	962	716
0610007P22Rik	1665	1535	581	1180	1351	710	1365	1095	594	546	1428	851	1044	1768	1423	924	1206	479
0610009B14Rik	1	3	2	3	0	0	0	1	1	0	8	3	1	0	2	0	1	5
0610009B22Rik	812	1109	221	611	460	344	868	437	535	447	929	447	542	1042	823	468	638	467
0610009D07Rik	3966	2620	699	2263	1184	2345	2829	2088	1596	1385	2202	1658	1768	4029	3863	2210	1870	1252
0610009E02Rik	57	60	32	32	42	43	54	58	13	28	77	30	26	71	30	35	61	22
0610009L18Rik	78	125	57	148	86	50	127	58	81	77	174	77	81	143	174	75	125	84
0610009O20Rik	1405	1277	692	982	1614	1009	1409	1047	618	614	1649	720	1131	1678	1332	1208	1653	815
0610010F05Rik	6345	4470	1511	2726	2714	2138	3304	3823	1937	1840	3537	2535	3503	5511	3865	3117	4221	2373
0610010K14Rik	45	42	18	41	33	29	40	21	27	16	37	32	27	44	43	44	52	22
0610010O12Rik	577	879	425	604	502	542	394	1478	198	133	1889	579	730	794	510	924	1376	661
0610011F06Rik	463	1173	392	812	493	522	795	495	432	288	1250	437	510	633	673	444	650	419
0610011L14Rik	2522	2241	715	1785	1759	1139	1895	2098	1123	912	2379	1468	1839	3091	1716	1674	2053	1072
0610012D04Rik	0	0	0	0	0	0	2	0	0	0	1	0	0	4	2	0	3	0
0610012G03Rik	619	1390	389	882	474	902	1071	864	509	379	1203	475	804	1192	1336	752	951	583
0610012H03Rik	5	6	2	2	0	3	2	1	2	3	8	0	0	4	7	5	8	0
0610025J13Rik	1	1	1	6	1	5	5	1	0	0	5	5	4	1	1	1	9	2
0610030E20Rik	677	824	303	515	489	437	938	512	614	507	781	529	585	1048	852	551	743	305
0610031J06Rik	1696	2510	663	1273	1042	1258	2453	1063	798	803	1665	796	1507	2847	3198	1078	1817	749
0610037L13Rik	866	1147	705	860	709	1972	744	1074	725	518	2113	836	816	1193	943	1004	1768	635
0610037P05Rik	2125	2326	512	1435	2047	937	1913	1460	1294	1085	1884	1157	1311	2508	1754	1420	1729	940
0610038P03Rik	1	0	0	0	1	1	0	18	0	0	0	3	2	6	2	2	2	3
0610039K10Rik	2	7	2	3	0	5	1	2	1	0	1	6	1	7	7	4	4	0
0610040B09Rik	0	4	1	0	0	1	0	6	0	0	21	0	9	0	0	0	5	14
0610040B10Rik	125	100	46	85	81	55	115	85	36	25	159	69	90	240	60	147	176	86
0610040F04Rik	11	17	13	13	6	3	12	28	0	0	35	17	21	9	3	16	42	23
0610040J01Rik	119	200	228	589	263	122	189	96	119	46	307	146	190	565	548	190	185	177
0610043K17Rik	14	44	21	19	18	19	16	58	5	0	43	9	46	6	7	28	69	47
0910001L09Rik	1640	2238	697	1229	904	861	1566	985	780	749	2016	747	1213	2512	2153	982	1773	729
1010001B22Rik	8	54	18	18	29	17	25	8	11	6	71	15	29	43	30	25	44	14
1010001N08Rik	3	0	1	0	3	0	0	2	0	0	3	0	8	2	8	0	2	5
1100001G20Rik	0	0	0	0	0	1	1	0	2	2	1	0	0	15	2	0	2	0
1110001A16Rik	764	804	176	523	315	246	533	452	365	276	559	306	499	818	532	383	434	243
1110001J03Rik	673	825	189	524	461	338	630	510	289	245	694	285	356	627	783	504	577	446
1110002B05Rik	2815	2693	667	2682	1228	768	2846	1787	2094	1625	2876	1791	1915	3580	3406	1992	1894	1233
1110002E22Rik	38	9	88	1	87	51	12	30	6	11	26	15	56	59	28	28	53	12
1110002J07Rik	233	65	22	53	56	113	67	21	19	58	41	17	71	73	129	28	112	62
1110002L01Rik	524	609	113	299	156	511	588	146	253	307	340	223	309	693	522	164	355	170
1110002N22Rik	658	578	191	390	371	229	408	357	219	203	406	348	357	663	432	429	388	207
1110003E01Rik	5052	5125	2164	3593	3059	1880	3681	4554	1982	2357	5843	3103	3653	7546	2880	3398	6118	3679
1110004E09Rik	484	875	256	486	310	537	581	604	343	250	731	368	456	867	725	541	777	422
1110004F10Rik	11109	6893	2164	4937	3741	2380	7254	4397	2897	2882	5583	4165	6037	8568	5760	4118	4748	2842
1110005A03Rik	913	854	276	806	506	349	620	355	544	457	726	381	638	1049	845	486	543	338
1110006G14Rik	18	17	2	6	11	5	20	0	5	11	27	6	11	13	13	4	11	4
1110007C09Rik	402	971	282	300	149	161	1139	359	143	145	528	321	453	866	721	215	1109	176
1110008E08Rik	4	6	0	1	1	0	8	4	0	0	0	2	1	6	1	1	2	2
1110008F13Rik	2212	2245	681	1611	1823	1570	2085	1626	1136	1065	2301	1055	1757	2571	2951	1477	1608	861
1110008J03Rik	400	588	215	395	373	359	376	317	171	212	615	236	351	684	643	328	645	300
1110008L16Rik	790	716	199	558	266	256	765	473	453	395	575	439	511	1328	1212	518	552	296
1110008P14Rik	465	722	226	484	445	525	596	1054	238	145	1488	411	462	943	482	486	1015	433
1110012J17Rik	999	1226	709	1154	1468	888	739	1620	983	497	2099	978	790	1162	1746	1315	1797	1021
1110012L19Rik	1108	953	322	693	566	442	700	387	338	348	709	341	687	618	750	500	540	389
1110014N23Rik	1388	2133	700	1674	1033	688	1879	1293	649	683	1784	734	1286	1588	2155	689	1682	1020
1110017D15Rik	29	33	35	29	128	48	31	38	19	12	78	32	51	58	29	24	87	56
1110017F19Rik	1	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0
1110018G07Rik	21868	7702	2888	9224	3424	2063	8938	7057	5863	5472	8270	7997	10631	22889	7473	9860	7724	6022
1110018J18Rik	723	1111	381	794	941	509	839	544	414	368	982	468	624	1134	1069	537	819	438
1110018N20Rik	109	56	17	63	78	39	25	63	50	38	116	43	52	109	38	85	39	44
1110019D14Rik	69	77	19	68	12	47	47	31	41	36	103	27	50	97	41	39	59	27
1110020A21Rik	16	72	17	29	29	20	35	29	18	14	57	22	24	55	34	17	36	22
1110020G09Rik	1454	2710	878	1755	1113	1465	2081	3225	1577	1139	3609	2174	1663	1295	2178	3237	3043	1759
1110021J02Rik	427	710	347	530	593	503	612	262	526	417	757	289	555	543	870	441	498	248
1110021L09Rik	379	306	228	521	285	348	241	354	431	300	732	278	264	276	879	419	400	248
1110028C15Rik	1590	1699	948	1239	884	790	1215	1710	1647	1444	2906	1325	1227	1263	2566	1230	1554	917
1110028F11Rik	4	3	6	6	0	4	7	7	24	3	21	8	6	2	2	13	7	11
1110031I02Rik	225	305	112	370	221	152	242	206	133	109	453	186	217	364	226	305	401	200
1110032A03Rik	811	1072	343	871	390	327	653	777	416	387	1201	561	668	980	655	731	997	738
1110032A04Rik	1	93	29	38	11	3	4	172	11	7	135	52	55	6	5	38	212	71
1110032F04Rik	250	126	46	65	53	54	138	110	108	40	181	175	75	116	68	67	214	59
1110034A24Rik	738	703	173	459	302	331	804	341	470	373	510	280	447	831	1875	329	485	180
1110034B05Rik	851	892	317	712	535	372	794	637	518	402	788	479	675	655	1216	709	535	461
1110034G24Rik	196	260	97	261	251	182	146	119	178	125	321	81	234	369	158	172	207	188
1110035H17Rik	2	16	3	8	4	2	4	1	2	0	8	5	1	3	2	4	4	0
1110035M17Rik	12	15	9	10	11	7	8	12	5	4	17	8	12	24	9	4	15	6
1110037F02Rik	7780	3865	2336	4098	5032	3301	6457	3751	3098	1728	5429	2437	3907	5409	4651	4319	5422	1727
1110038B12Rik	999	841	523	889	1029	619	1337	580	517	425	851	561	717	981	1697	567	1118	190
1110038D17Rik	1518	872	501	754	729	522	818	793	543	430	1121	636	943	1216	1172	764	1099	549
1110038F14Rik	1962	1013	516	833	870	647	895	678	590	449	1061	709	1024	1358	1041	1109	905	440
1110046J04Rik	31	49	13	18	11	7	33	37	19	28	34	28	32	36	18	14	42	11
1110049F12Rik	909	1363	1005	1023	767	918	888	2005	420	270	2460	1132	1012	1558	1375	825	2833	1396
1110050K14Rik	209	63	85	305	34	34	5	58	51	7	29	8	267	558	130	115	508	155
1110051M20Rik	2075	2446	784	1806	1481	1023	1392	1868	1227	996	3051	1145	1586	2336	1419	1230	2440	1296
1110054M08Rik	46	124	44	96	72	113	91	80	53	43	224	88	102	234	147	109	193	128
1110054O05Rik	754	1017	675	1427	3509	2291	1465	1314	722	432	1334	803	936	1872	1102	969	1558	496
1110057K04Rik	2016	2297	678	1793	687	1247	2282	1292	1438	1293	2126	1094	1588	2684	2875	1264	1848	1112
1110058L19Rik	765	861	240	461	369	261	471	551	367	251	837	336	552	617	713	424	582	482
1110059E24Rik	2236	1852	545	1213	953	704	1357	926	545	578	1023	587	1013	1283	2114	587	1034	695
1110059G10Rik	1191	714	218	696	561	356	620	522	421	412	650	524	653	922	813	629	628	404
1110059M19Rik	1	24	20	1	5	0	0	5	0	1	50	2	0	3	0	2	2	20
1110065P20Rik	550	614	436	473	349	513	412	654	181	175	1287	344	412	960	541	443	1133	477
1110067D22Rik	6092	4421	2896	6112	3329	2937	3354	6202	3895	2543	8770	5101	3662	7731	4629	6405	4488	3634
1190002H23Rik	1744	3633	2617	3879	1497	1751	5498	994	3421	2363	5227	1310	2620	2611	2691	743	2500	1135
1190002N15Rik	1618	1323	475	1059	571	546	1009	911	810	718	1339	883	1004	1307	1044	814	1155	994
1190003J15Rik	0	7	4	2	7	0	4	8	7	3	11	9	21	6	6	4	12	3
1190005F20Rik	1151	1240	614	1092	824	764	1207	598	1007	739	1281	660	1188	1090	1484	819	960	754
1190005I06Rik	37	87	36	51	39	30	32	147	10	3	200	47	61	49	22	49	137	99
1190007F08Rik	115	812	258	388	158	334	506	855	134	84	1535	325	441	372	183	261	965	499
1190007I07Rik	90	155	47	158	135	165	64	98	113	69	198	94	101	80	223	149	88	80
1200007C13Rik	10	5	2	1	4	0	2	3	2	0	11	5	1	1	4	4	3	3
1200009I06Rik	192	210	60	100	64	99	118	101	51	40	173	90	151	99	198	148	205	187
1200011I18Rik	2719	3338	1079	1842	891	1099	3389	2724	1316	1343	2154	1823	1829	2377	3241	1093	2773	1202
1200011M11Rik	1371	1502	463	843	902	617	1164	1037	599	545	1078	639	936	1886	1433	739	1167	467
1200014J11Rik	2228	2445	897	1538	1408	1076	2279	1615	1439	1079	1855	1263	1679	3089	2615	1523	2082	1067
1200016B10Rik	1515	1661	619	1133	989	868	1833	1208	1256	1109	1432	989	1334	1312	2361	1218	1061	711
1300001I01Rik	2313	4318	2044	2834	2701	3648	4495	4296	2034	1749	6079	3072	3403	6086	4023	3696	6141	3118
1300002E11Rik	1170	545	160	422	631	253	608	384	596	359	452	496	479	1125	473	653	552	320
1300002K09Rik	136	328	29	28	101	34	1088	94	181	100	114	120	252	248	301	54	254	15
1300010F03Rik	2044	4194	1671	2720	1657	1273	3138	3565	1692	1270	4536	2138	2613	3017	3161	2218	4080	2288
1300014I06Rik	5237	8492	2070	7253	5564	1216	7169	2304	6068	4987	4172	3869	3142	11507	9817	2028	6004	1532
1300015D01Rik	46	6	5	5	0	4	0	6	7	0	14	5	5	34	2	18	18	8
1300017J02Rik	28	18	4	8	8	15	26	21	4	6	14	14	15	29	25	6	21	14
1300018I17Rik	1442	1287	527	1263	1116	645	1511	992	766	812	1678	1038	1014	1701	2011	805	1607	775
1300018J18Rik	1582	2224	849	1378	1103	709	1907	1380	983	940	1947	1028	1507	1131	1631	995	1895	945
1500001M20Rik	675	827	256	468	597	515	708	529	439	293	628	376	435	715	1001	539	688	296
1500002C15Rik	33	57	29	104	42	43	35	28	17	13	51	26	33	60	36	46	53	28
1500002F19Rik	9	12	6	11	4	8	7	11	2	1	14	2	7	21	6	5	12	8
1500002O10Rik	8	13	8	16	5	4	18	5	1	6	12	13	12	27	12	13	25	11
1500002O20Rik	775	947	474	958	803	646	975	851	456	404	1385	697	728	1451	871	707	1121	646
1500003O03Rik	5423	4468	1782	3316	2345	2369	4078	4648	2239	2018	5708	2824	4069	5632	3551	2588	4895	3053
1500009C09Rik	7613	2697	1455	3264	2451	480	1221	2814	1771	1331	4371	1783	5291	3506	684	3396	2594	3905
1500009L16Rik	383	373	181	222	331	2794	315	382	440	317	765	355	287	419	695	426	430	215
1500010J02Rik	1525	2257	889	1662	1997	1801	2766	994	1512	1145	1996	998	1650	2639	2939	1484	2092	1033
1500011B03Rik	1321	1501	506	885	719	332	957	1388	357	559	1707	853	945	2336	743	657	1849	949
1500011H22Rik	2066	1987	936	1155	1595	1306	1446	1421	671	671	1890	858	1357	3019	1696	1019	2054	1020
1500011K16Rik	928	789	288	720	722	442	578	666	400	240	1079	436	632	860	618	810	634	406
1500012F01Rik	1843	1448	849	1708	1450	747	1605	1442	1069	1089	1910	1292	2171	1852	1856	976	2088	993
1500012K07Rik	0	6	1	2	0	4	0	8	0	0	3	0	1	1	0	4	5	1
1500015O10Rik	73	161	241	65	47	84	89	445	108	135	537	196	203	39	15	35	115	107
1500016L03Rik	5	39	25	41	7	11	21	87	1	0	99	23	60	4	8	38	133	70
1500017E21Rik	7	7	6	5	2	9	13	18	3	1	24	10	5	8	19	12	16	9
1500026H17Rik	72	106	49	71	44	27	31	79	43	40	149	43	64	67	62	40	114	74
1500031L02Rik	5619	1369	364	718	570	701	800	987	535	457	1337	667	778	1170	856	654	1232	682
1500032L24Rik	3522	4185	1421	2468	2338	1339	3551	2825	1841	1455	4812	1826	2683	2868	4092	2505	3746	1746
1500035N22Rik	0	0	4	1	4	0	0	4	0	0	4	4	1	0	1	0	6	3
1520401A03Rik	15	8	6	11	4	4	19	10	10	3	11	8	12	12	18	7	10	5
1520402A15Rik	552	868	422	724	389	1227	583	917	470	355	1320	639	638	691	420	706	1115	660
1600002D24Rik	1	4	0	0	0	1	4	1	1	1	0	1	1	8	5	1	1	0
1600002H07Rik	628	731	251	497	684	443	700	425	348	250	522	335	460	822	990	381	709	192
1600002K03Rik	115	139	58	79	85	79	101	60	75	85	204	68	86	90	180	50	140	98
1600010F14Rik	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
1600012F09Rik	2879	3362	1065	2325	2203	1651	2632	1446	1743	1400	2112	1614	2108	3152	3866	2375	2297	1037
1600012H06Rik	1237	1613	519	958	716	878	1543	806	704	662	1148	660	1032	1708	1485	827	1062	399
1600012P17Rik	0	1	1	2	0	2	10	4	0	3	1	1	0	0	0	1	5	1
1600014C10Rik	2085	2076	658	1130	886	488	1614	794	742	621	1908	748	1661	2172	1124	898	1218	934
1600014K23Rik	0	1	0	1	0	0	0	2	0	2	3	1	5	0	0	1	4	0
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
1600016N20Rik	2	21	4	8	5	4	32	7	2	7	15	4	7	13	23	5	19	4
1600020E01Rik	780	473	244	524	574	375	472	422	408	339	794	413	423	697	610	404	612	291
1600021P15Rik	3465	4970	974	3981	6278	1082	5064	2294	4413	3107	3604	3759	3247	10401	2282	1073	3194	2173
1600025M17Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1600027N09Rik	1687	1218	405	1075	1053	637	1246	977	884	687	1306	1016	1005	2124	1261	1175	984	601
1600029D21Rik	25	21	5	14	15	1	13	20	12	4	63	26	17	27	5	16	34	23
1600029I14Rik	0	1	2	2	0	0	1	1	0	0	3	1	1	0	0	0	5	6
1600029O15Rik	2	5	1	0	3	0	17	8	3	0	4	6	1	0	2	2	2	1
1700001C02Rik	1	2	2	1	0	0	1	1	0	0	14	0	0	0	0	1	11	6
1700001C19Rik	7	35	3	8	14	18	17	7	16	6	90	30	7	16	27	3	14	5
1700001F09Rik	0	2	2	4	1	0	0	4	0	0	5	0	1	0	15	2	0	2
1700001G01Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1
1700001G11Rik	21	52	15	31	12	20	33	16	14	13	23	11	24	38	41	17	22	7
1700001G17Rik	17	24	7	15	31	14	9	10	10	17	38	7	27	23	56	8	16	9
1700001J11Rik	7	21	4	13	4	3	15	1	24	21	6	1	9	15	19	4	4	1
1700001K19Rik	1	2	1	0	0	0	7	1	2	5	1	0	0	17	13	0	8	0
1700001L05Rik	135	94	45	35	47	78	35	51	30	10	87	38	50	84	253	44	138	16
1700001L19Rik	4	63	29	35	40	10	11	101	16	3	143	44	43	6	9	45	143	63
1700001O22Rik	308	348	124	363	152	182	284	167	183	161	296	151	205	548	565	165	363	124
1700001P01Rik	16	21	7	19	21	24	35	17	15	9	23	16	22	41	67	14	26	8
1700003D09Rik	1	2	2	2	0	0	3	1	2	0	5	0	0	1	3	1	0	1
1700003E16Rik	20	104	49	53	81	102	24	126	14	7	297	52	76	24	22	56	191	108
1700003E24Rik	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
1700003F12Rik	21	29	7	13	7	9	27	22	8	9	32	10	20	36	25	26	36	18
1700003F17Rik	3	1	0	0	0	0	0	2	1	0	0	0	2	5	0	0	0	0
1700003G13Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700003G18Rik	6	1	1	4	5	3	3	2	3	1	16	3	6	10	5	6	4	3
1700003M02Rik	6	24	14	9	4	23	4	21	2	1	58	9	5	0	2	1	53	39
1700003M07Rik	40	47	27	26	55	117	42	16	12	11	60	16	29	92	37	49	50	33
1700006D18Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0
1700006E09Rik	0	0	0	1	0	0	0	0	0	0	4	1	0	1	3	0	0	0
1700006J14Rik	2	21	1	11	4	10	19	11	18	9	7	8	9	21	14	8	10	3
1700006P19Rik	2	0	1	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0
1700007B14Rik	2	1	4	1	2	1	0	13	0	0	23	2	2	1	0	17	7	3
1700007G11Rik	6	6	8	7	37	2	7	11	2	2	12	8	5	6	0	3	32	9
1700007I08Rik	8	3	0	1	8	3	2	4	3	3	3	1	0	9	5	1	3	2
1700007J10Rik	6	4	1	2	1	0	2	1	1	1	4	6	2	1	1	1	0	2
1700007K09Rik	10	4	2	0	1	1	3	8	0	0	1	1	1	4	0	4	1	2
1700007K13Rik	6	43	31	18	17	52	9	50	5	3	156	28	46	6	1	28	83	78
1700007L15Rik	38	79	23	42	20	26	48	31	25	28	85	24	26	81	59	34	45	38
1700007P06Rik	1	1	1	0	0	0	2	0	0	1	0	1	0	1	2	0	0	0
1700008A04Rik	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	1	0
1700008F21Rik	4	2	1	3	2	0	4	1	0	3	3	0	0	1	1	1	13	1
1700008I05Rik	24	2	1	0	1	1	8	5	0	4	7	3	6	1	1	0	5	18
1700008O03Rik	72	46	9	20	10	6	46	43	11	13	70	22	35	40	25	29	53	38
1700008P02Rik	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0
1700008P20Rik	1	1	0	0	11	2	0	2	2	0	1	0	0	0	17	13	11	0
1700009N14Rik	2	0	0	1	1	0	0	0	0	0	0	2	0	22	0	0	5	0
1700009P17Rik	9	36	24	10	4	36	19	65	7	1	37	10	8	13	15	12	24	17
1700010B08Rik	9	4	0	0	0	0	3	1	0	0	3	1	6	7	3	4	3	0
1700010D01Rik	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	187	229	58	107	110	24	206	44	56	87	112	67	138	351	191	31	112	57
1700010K10Rik	2	5	0	0	1	1	1	1	2	0	5	3	3	1	4	2	3	0
1700010K23Rik	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
1700010K24Rik	6	9	3	6	7	10	8	6	3	8	8	3	7	5	14	2	3	3
1700010L04Rik	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1
1700010M22Rik	4	1	2	0	0	0	0	6	0	0	0	1	0	3	0	1	2	0
1700011A15Rik	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
1700011E24Rik	15	11	6	0	8	11	17	3	5	6	7	12	15	18	34	8	8	1
1700011F14Rik	3	5	2	0	0	1	1	15	0	0	34	1	8	1	5	1	9	2
1700011H14Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1700011I03Rik	2	4	4	0	4	1	1	7	2	2	15	5	5	4	1	6	20	1
1700011J10Rik	149	269	63	153	153	90	226	211	70	98	239	113	136	263	204	166	216	131
1700011L22Rik	3	1	2	2	5	8	1	9	0	1	1	3	5	4	3	2	10	2
1700011M02Rik	1	0	15	1	0	2	0	11	2	5	6	7	4	1	0	3	4	1
1700012A03Rik	0	0	0	0	0	0	1	2	0	0	1	1	0	0	3	1	1	0
1700012A16Rik	51	159	59	47	28	59	103	56	103	113	105	86	59	213	108	75	156	43
1700012B07Rik	0	0	1	0	0	0	0	1	2	0	0	0	0	2	0	0	0	3
1700012B09Rik	3	9	8	0	1	1	18	17	1	6	18	4	13	7	1	4	25	6
1700012B15Rik	523	474	229	374	266	427	240	398	163	164	596	317	375	650	685	402	535	288
1700012C14Rik	5	3	0	3	3	4	2	10	3	4	4	1	1	2	12	3	5	4
1700012L04Rik	5	6	1	6	2	4	13	5	3	6	6	6	5	6	22	2	8	5
1700012P22Rik	0	0	1	3	0	0	2	0	0	0	5	2	0	0	0	1	3	2
1700013D24Rik	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1
1700013F07Rik	4	22	5	3	17	11	8	2	0	1	22	6	6	7	14	9	7	12
1700013G23Rik	26	38	17	21	24	15	21	8	17	14	47	7	17	27	34	14	52	26
1700013H16Rik	0	2	0	1	2	1	0	0	0	0	1	1	0	1	1	1	0	0
1700013N06Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1700013N18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
1700014D04Rik	1	0	0	0	3	2	2	2	1	1	3	0	3	3	5	0	2	2
1700015E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700015F17Rik	2	5	1	5	5	4	4	17	1	2	3	3	8	0	3	5	18	2
1700016C15Rik	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700016D06Rik	2	2	0	0	0	0	2	1	0	0	1	0	1	1	2	0	4	0
1700016G14Rik	0	4	4	1	1	0	1	7	1	1	12	1	1	0	0	2	7	0
1700016H13Rik	5	9	2	2	2	2	12	2	2	0	9	1	4	5	6	1	13	1
1700016K19Rik	0	5	3	2	1	3	0	2	0	0	13	1	6	4	1	2	4	17
1700016M24Rik	0	0	0	0	2	0	0	0	0	0	0	0	0	2	4	2	1	0
1700016P03Rik	48	33	10	14	22	7	37	66	17	18	50	43	29	44	21	30	37	29
1700017B05Rik	687	648	329	512	570	643	908	719	362	320	915	590	803	1187	1498	712	942	383
1700017D01Rik	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017G19Rik	0	0	2	0	0	0	0	4	0	0	13	1	8	1	1	0	4	2
1700017J07Rik	0	2	1	0	3	0	4	0	0	1	3	0	2	2	3	0	0	1
1700017N19Rik	1	2	0	0	1	0	0	0	0	0	5	0	0	3	0	2	3	1
1700018A04Rik	2	1	0	0	0	4	2	0	5	1	1	2	1	9	2	2	8	1
1700018A14Rik	0	2	3	1	0	0	0	7	0	0	6	0	4	2	0	0	5	3
1700018B08Rik	0	0	0	0	0	0	1	0	0	2	2	1	0	0	5	1	2	0
1700018B24Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700018L24Rik	17	17	9	10	29	5	19	3	16	6	21	13	12	22	61	3	16	7
1700018M17Rik	4	1	2	1	7	11	1	1	0	2	10	1	1	12	6	2	4	2
1700019A02Rik	10	9	9	5	12	9	15	8	20	4	12	10	12	10	38	10	5	5
1700019B03Rik	20	6	2	2	5	0	8	10	1	4	6	7	6	2	9	1	2	0
1700019D03Rik	3741	1860	568	2030	1063	190	1324	1286	1045	972	1176	1440	2244	1902	1156	1150	1260	1781
1700019E19Rik	506	923	202	407	169	198	1073	346	425	305	658	320	441	614	1009	406	613	277
1700019G06Rik	0	2	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0
1700019G17Rik	326	386	132	398	203	64	222	531	108	272	796	258	231	283	236	231	592	395
1700019G24Rik	0	4	0	0	0	2	0	4	0	0	1	0	1	0	1	0	1	1
1700019L03Rik	9	5	8	4	5	7	9	4	6	7	17	7	9	12	13	9	7	16
1700019N12Rik	6	16	5	9	9	2	18	21	1	5	25	10	12	28	23	7	38	7
1700019N19Rik	0	1	1	0	4	1	0	5	0	0	10	2	0	1	0	2	6	4
1700019O17Rik	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0
1700020C07Rik	21	5	3	8	8	6	8	11	9	8	4	6	8	11	10	2	11	6
1700020I14Rik	8907	16621	5765	9509	6372	4960	9641	22905	7196	5409	20571	10263	11274	10154	10229	11132	22694	10004
1700020L24Rik	5	6	7	2	2	3	8	21	1	3	10	5	5	2	8	8	24	9
1700020N01Rik	2	0	1	1	1	0	0	0	0	1	0	2	2	0	0	0	1	1
1700020N15Rik	1	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0
1700020O03Rik	2664	2296	698	1919	944	548	2620	2076	1503	1219	2430	1653	1818	3307	3046	1882	2340	1366
1700021A07Rik	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0
1700021C14Rik	42	65	17	37	14	35	57	26	34	22	38	25	39	64	65	31	49	22
1700021F05Rik	712	582	327	542	509	486	472	740	414	365	959	426	622	802	948	668	758	463
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
1700021J08Rik	0	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
1700021K19Rik	2479	6695	1917	4240	2612	2671	5338	2303	3478	3303	5194	2284	4161	6303	4647	2640	5619	2524
1700021L23Rik	4	0	1	1	0	2	0	1	0	0	0	0	0	2	1	0	1	0
1700021N21Rik	4	5	6	5	0	8	3	10	1	1	13	10	0	4	5	8	20	5
1700021O21Rik	0	4	0	1	2	0	0	8	0	0	5	1	0	0	0	1	3	4
1700022A21Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1700022I11Rik	3	10	0	2	2	4	1	6	2	5	3	0	3	6	9	4	1	3
1700022K14Rik	49	33	30	45	50	43	47	31	16	22	59	22	25	71	65	27	95	29
1700022N22Rik	7	13	2	3	4	5	13	5	9	1	10	4	3	10	11	7	1	0
1700022P22Rik	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0
1700023A16Rik	5	1	0	1	6	0	5	3	0	3	1	1	0	1	5	1	8	1
1700023E05Rik	1	2	0	0	2	3	3	1	0	0	1	1	1	4	5	2	4	2
1700023F06Rik	8	29	8	17	4	3	8	23	8	5	23	7	8	14	7	14	31	23
