geneID	geneSymbol	bioType	annotationLevel	SRR7850870	SRR7850871	SRR7850872	SRR7850873	SRR7850874	SRR7850875	SRR7850876	SRR7850877	SRR7850878
ENSMUSG00000063447.7	Ube2d2b	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063450.14	Syne2	protein_coding	2	9620.0	30299.0	24941.0	26715.0	29287.0	32658.0	20063.0	24913.0	11700.0
ENSMUSG00000063455.16	D630045J12Rik	protein_coding	2	1365.96	4636.94	3942.82	4358.0	4422.77	3863.55	2636.94	3352.92	1371.96
ENSMUSG00000063457.14	Rps15	protein_coding	2	3070.0	8377.99	6937.0	7381.0	9439.98	10606.0	7149.0	8719.99	4251.98
ENSMUSG00000063458.13	Lrmda	protein_coding	2	5.0	5.0	0.0	3.0	3.0	4.0	5.0	3.0	0.0
ENSMUSG00000063478.2	Tas2r114	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063480.8	Snu13	protein_coding	2	1386.31	3764.81	3125.52	3114.33	4206.5	5266.95	3106.85	3785.81	1873.18
ENSMUSG00000063488.6	Zkscan7	protein_coding	2	369.0	854.0	793.0	781.0	874.0	1101.0	673.0	828.0	389.0
ENSMUSG00000063506.14	Arhgap22	protein_coding	2	13.0	32.0	19.0	22.0	21.0	160.0	106.0	135.0	59.0
ENSMUSG00000063507.5	Gm1330	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063511.11	Snrnp70	protein_coding	2	4020.74	10167.0	8985.82	9314.0	12012.0	11999.89	8109.0	9746.0	4222.81
ENSMUSG00000063514.3	Gm6756	processed_pseudogene	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ENSMUSG00000063522.5	Ly6m	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063524.13	Eno1	protein_coding	2	4976.2	13340.42	11110.33	12470.12	18861.83	27876.69	15414.07	19334.92	12404.35
ENSMUSG00000063529.3	Stmnd1	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
ENSMUSG00000063531.7	Sema3e	protein_coding	2	69.0	207.0	152.0	181.0	213.0	324.0	113.0	174.0	112.0
ENSMUSG00000063535.7	Zfp773	protein_coding	2	182.0	665.0	606.0	597.0	693.0	775.0	384.0	552.0	241.0
ENSMUSG00000063543.5	Gm5616	processed_pseudogene	2	9.66	28.64	22.73	24.13	43.41	52.5	25.5	11.48	12.68
ENSMUSG00000063548.3	Gm4825	processed_pseudogene	1	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0
ENSMUSG00000063549.4	Olfr322	protein_coding	2	0.0	2.0	1.0	0.0	0.0	3.0	0.0	2.0	2.0
ENSMUSG00000063550.8	Nup98	protein_coding	2	1785.0	4548.0	3831.0	3997.0	5143.0	6927.0	4000.0	4730.0	2492.0
ENSMUSG00000063556.5	Gm10132	processed_pseudogene	2	482.18	189.19	346.69	671.1	438.54	1164.64	420.42	686.48	323.04
ENSMUSG00000063558.4	Aox1	protein_coding	2	6.0	25.0	21.0	13.0	29.0	27.0	12.0	23.0	13.0
ENSMUSG00000063564.13	Col23a1	protein_coding	2	262.0	423.0	450.0	353.0	879.0	486.0	561.0	710.0	208.0
ENSMUSG00000063568.11	Jazf1	protein_coding	2	83.0	210.0	198.0	236.0	234.0	388.0	191.0	227.0	116.0
ENSMUSG00000063576.12	Klhdc3	protein_coding	2	523.0	1332.0	1210.0	1326.0	1648.0	1842.0	1022.0	1342.0	669.0
ENSMUSG00000063582.2	Olfr666	protein_coding	2	6.0	1.0	0.0	1.0	4.0	3.0	1.5	3.0	0.0
ENSMUSG00000063583.6	Olfr1410	protein_coding	2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSMUSG00000063586.1	Gm5513	processed_pseudogene	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063590.3	Slc22a28	protein_coding	2	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ENSMUSG00000063594.5	Gng8	protein_coding	2	4.0	6.0	13.0	14.0	21.0	18.0	20.0	15.0	10.0
ENSMUSG00000063600.14	Egfem1	protein_coding	1	56.0	102.0	121.0	83.0	109.0	90.0	124.0	92.0	24.0
ENSMUSG00000063605.5	Ccdc102a	protein_coding	2	131.0	310.0	229.0	258.0	329.0	523.0	354.0	394.0	245.0
ENSMUSG00000063611.5	Gm10134	lncRNA	2	6.0	10.0	23.0	11.0	21.0	18.0	9.0	12.0	13.0
ENSMUSG00000063615.6	Olfr64	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063623.3	C230062I16Rik	lncRNA	2	4.0	14.0	20.0	10.0	14.0	31.0	10.0	20.0	8.0
ENSMUSG00000063626.6	Unc5d	protein_coding	2	252.0	1261.0	1168.0	1288.0	785.0	762.0	339.0	574.0	301.0
ENSMUSG00000063628.2	Gm7665	processed_pseudogene	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063632.6	Sox11	protein_coding	2	27397.0	70283.0	62272.0	61048.0	92691.0	80601.0	53271.66	65344.0	23912.0
ENSMUSG00000063646.18	Jakmip1	protein_coding	1	88.59	373.22	402.6	347.85	330.22	311.27	131.23	246.6	122.66
ENSMUSG00000063651.11	Cnfn	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000063652.10	Slc22a21	protein_coding	2	20.37	58.62	42.84	46.59	41.21	76.95	54.54	44.06	34.83
ENSMUSG00000063656.6	Gm10135	protein_coding	3	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
